,기사작성일,기사제목,기사주소
110,2020.10.04.,코로나에 비대면 거래늘자…온라인 사기 극성,http://www.yonhapnewstv.co.kr/MYH20201004001100641/?did=1825m
111,2020.09.27.,입금하면 잠적…추석 전후 온라인 사기 주의보,http://www.idaegu.co.kr/news/articleView.html?idxno=324386
112,2020.10.02.,코로나로 사기도 '비대면'으로 진화…10대 대상 온라인 사기 급증,https://news.joins.com/article/olink/23479435
113,2020.10.08.,"제주, 온라인 거래 사기 늘어난다",http://www.jibs.co.kr/news/articles/articlesDetail/11876?feed=na
114,2020.09.29.,신종 사기범죄 기승…메신저피싱 피해액 214% 폭증,http://www.mdtoday.co.kr/mdtoday/index.html?no=400827
115,2020.09.21.,추석 전후 스미싱·인터넷사기 등 증가 예상…생활 속 예방수칙은?,https://view.asiae.co.kr/article/2020092021313609135
116,2020.09.28.,"보이스피싱, 메신저피싱 등 신종 사기범죄 지속적 증가",http://www.g-enews.com/ko-kr/news/article/news_all/20200928101613579a7e7e1dc6_1/article.html
117,2020.09.27.,"""헉! 다 같은 전자랜드가 아니네""…추석 앞두고 가전제품 판매 사기주의보",http://www.inews24.com/view/1302767
118,2020.09.22.,안 그래도 힘든데 서민 두 번 울리는 중고거래 사기 기승,http://www.dynews.co.kr/news/articleView.html?idxno=600778
119,2020.09.25.,추석연휴 “인터넷 사기 주의보”,https://www.wikitree.co.kr/articles/576132
120,2020.09.28.,"서영교 행안위원장, 신종 사기범죄 작년상반기 대비 214%급증",http://www.breaknews.com/758146
121,2020.09.27.,"""헉! 다 같은 전자랜드가 아니네""…추석 앞두고 가전제품 판매 사기주의보",http://www.inews24.com/view/1302767
122,2020.09.22.,안 그래도 힘든데 서민 두 번 울리는 중고거래 사기 기승,http://www.dynews.co.kr/news/articleView.html?idxno=600778
123,2020.09.25.,추석연휴 “인터넷 사기 주의보”,https://www.wikitree.co.kr/articles/576132
124,2020.09.16.,"케어라풋, 몸캠피싱 동영상 변형제거로 피씽 사기 피해자 구제 도와",http://www.ccdailynews.com/news/articleView.html?idxno=2005058
125,2020.09.22.,서민 경제 좀먹는 '사기범죄'…경찰 첫 심층분석 착수,https://view.asiae.co.kr/article/2020092211342351164
126,2020.09.21.,추석 택배·재난지원금 사기 문자 주의보,http://www.ujeil.com/news/articleView.html?idxno=262054
127,2020.09.21.,"온라인 사기를 방지해 준다는 대형 스타트업, 알고 보니 대표가 사기꾼",http://www.boannews.com/media/view.asp?idx=91308&kind=
128,2020.09.21.,비대면 추석 빈틈 노리는 '온라인 사기' 주의보,http://www.idomin.com/news/articleView.html?idxno=740037
129,2020.08.19.,"F5 ""온라인 사기 방어 솔루션 구축…핀테크·이커머스 고객사 발굴""",http://www.edaily.co.kr/news/newspath.asp?newsid=03726086625868960
130,2020.09.21.,추석 택배·재난지원금 사기 문자 주의보,http://www.ujeil.com/news/articleView.html?idxno=262054
131,2020.09.28.,"신종 사기범죄 급증, 메신저피싱 피해 작년 상반기 대비 214% 폭증",http://www.enewstoday.co.kr/news/articleView.html?idxno=1417823
132,2020.09.21.,"온라인 사기를 방지해 준다는 대형 스타트업, 알고 보니 대표가 사기꾼",http://www.boannews.com/media/view.asp?idx=91308&kind=
133,2020.09.21.,비대면 추석 빈틈 노리는 '온라인 사기' 주의보,http://www.idomin.com/news/articleView.html?idxno=740037
134,2020.08.19.,"F5 ""온라인 사기 방어 솔루션 구축…핀테크·이커머스 고객사 발굴""",http://www.edaily.co.kr/news/newspath.asp?newsid=03726086625868960
135,2020.08.03.,"제주청 사이버수사대, 가짜 투자사이트 운영 일당 검거",http://www.jejuilbo.net/news/articleView.html?idxno=148928
136,2020.07.20.,사상 최악의 사이버 테러를 막아낸 20대 해커,http://www.gqkorea.co.kr/2020/07/20/%ec%82%ac%ec%83%81-%ec%b5%9c%ec%95%85%ec%9d%98-%ec%82%ac%ec%9d%b4%eb%b2%84-%ed%85%8c%eb%9f%ac%eb%a5%bc-%eb%a7%89%ec%95%84%eb%82%b8-20%eb%8c%80-%ed%95%b4%ec%bb%a4/?utm_source=naver&utm_medium=partnership
137,2020.12.27.,"올세이프, 나홀로족 몸캠피싱 피해 줄이는 피씽 솔루션 제공",http://www.cctvnews.co.kr/news/articleView.html?idxno=216923
