"행정구역별(시군구)","가구주의 연령",2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시군구)","가구주의 연령",일반가구,가구원수 1명,가구원수 2명,가구원수 3명,가구원수 4명,가구원수 5명,가구원수 6명,가구원수 7명 이상,평균 가구원수
"익산시","합계",119474,41275,36014,21293,15440,4265,922,265,2.2
"정읍시","합계",45970,15563,16346,7541,4523,1535,363,99,2.2
"남원시","합계",33974,11404,11932,5532,3497,1188,312,109,2.2
"김제시","합계",34697,11679,12810,5451,3278,1067,311,101,2.2
"완주군","합계",38551,13398,12108,6441,4512,1576,373,143,2.2
"진안군","합계",10674,3735,4099,1574,788,321,102,55,2.1
"무주군","합계",10469,3748,3886,1556,859,312,77,31,2.1
"장수군","합계",9383,3231,3536,1400,729,334,115,38,2.1
"임실군","합계",12288,4800,4338,1754,894,345,104,53,2
"순창군","합계",11647,3938,4394,1733,968,418,133,63,2.2
"고창군","합계",23512,8326,8905,3417,1888,694,204,78,2.1
"부안군","합계",22351,7815,8313,3438,1897,656,173,59,2.1
"읍부","합계",180222,59772,57359,31872,21921,7217,1577,504,2.3
"면부","합계",261444,97603,98095,37050,19256,6752,1940,748,2
"동부","합계",319852,99258,96052,62450,46706,12592,2210,584,2.3
"목포시","합계",94391,31836,27989,17299,12683,3700,689,195,2.3
"여수시","합계",112397,34072,36618,21512,15065,4076,819,235,2.3
"순천시","합계",110112,31947,33429,22303,17168,4340,746,179,2.4
"나주시","합계",48497,17978,15288,7824,5393,1641,288,85,2.1
"광양시","합계",57752,16276,17785,11883,8991,2320,375,122,2.4
"담양군","합계",18034,5643,7006,2979,1522,605,200,79,2.2
"곡성군","합계",12689,5278,4380,1687,854,355,96,39,2
"구례군","합계",11009,4195,3956,1551,809,345,115,38,2.1
"고흥군","합계",29520,11805,11309,3738,1790,642,171,65,1.9
"보성군","합계",17862,7007,6633,2410,1158,466,143,45,2
"화순군","합계",25343,8555,8738,4258,2630,887,206,69,2.2
"장흥군","합계",16484,6305,5889,2366,1294,454,124,52,2
"강진군","합계",15250,5856,5569,2108,1101,447,124,45,2
"해남군","합계",29031,10325,10656,4404,2360,919,272,95,2.1
"영암군","합계",23534,9120,7556,3631,2186,789,191,61,2.1
"무안군","합계",35628,12937,10414,5993,4616,1322,277,69,2.2
"함평군","합계",13538,5184,4931,1887,958,385,125,68,2
"영광군","합계",21780,7634,7605,3432,2027,799,208,75,2.2
"장성군","합계",17291,5406,6707,2746,1612,616,152,52,2.2
"완도군","합계",21234,7482,7846,3272,1664,711,189,70,2.1
"진도군","합계",13400,5206,4850,1842,999,363,101,39,2
"신안군","합계",16742,6586,6352,2247,1003,379,116,59,2
"읍부","합계",257403,87581,80296,47015,32599,7891,1616,405,2.2
"면부","합계",291785,107861,113426,41884,20269,6056,1678,611,2
"동부","합계",582631,193349,169339,113640,84224,18227,3094,758,2.3
"포항시","합계",207459,62847,65967,41995,29356,6025,1005,264,2.3
"남구","합계",96024,30330,30496,18733,13146,2711,494,114,2.3
"북구","합계",111435,32517,35471,23262,16210,3314,511,150,2.3
"경주시","합계",111247,39638,35462,19783,12700,2868,636,160,2.2
"김천시","합계",59250,19858,19529,10637,7022,1737,374,93,2.2
"안동시","합계",70934,26475,22874,11464,7575,1966,458,122,2.1
"구미시","합계",169519,54929,44021,35249,28668,5608,875,169,2.3
"영주시","합계",45636,15683,16220,7508,4573,1317,254,81,2.1
"영천시","합계",44842,16400,15699,7172,4063,1167,264,77,2.1
"상주시","합계",43717,16128,15425,6738,3821,1202,296,107,2.1
"문경시","합계",30574,10702,11140,4695,2864,855,233,85,2.1
"경산시","합계",116127,41805,32769,21441,15719,3599,633,161,2.2
"군위군","합계",10726,4111,4275,1451,625,197,55,12,2
"의성군","합계",24119,9344,9653,3111,1333,486,138,54,1.9
"청송군","합계",11723,4531,4567,1613,715,210,66,21,2
"영양군","합계",7661,2890,3001,1032,498,177,54,9,2
"영덕군","합계",16969,6814,6288,2287,1140,329,90,21,2
"청도군","합계",18821,6942,7183,2765,1350,427,117,37,2
"고령군","합계",13498,4686,5048,2071,1196,391,73,33,2.1
"성주군","합계",18255,6322,7018,2763,1445,494,134,79,2.1
"칠곡군","합계",46786,15218,13797,9128,6833,1489,253,68,2.3
"예천군","합계",24041,8281,8578,3836,2406,719,163,58,2.1
"봉화군","합계",14092,5083,5633,1992,943,317,95,29,2
"울진군","합계",21707,8370,7510,3223,1979,494,101,30,2
"울릉군","합계",4116,1734,1404,585,268,100,21,X,1.9
"읍부","합계",197768,56649,58008,40886,32572,7855,1416,382,2.4
"면부","합계",301778,104512,108116,48966,29552,8082,1939,611,2.1
"동부","합계",850609,256576,233576,180209,143534,30579,5055,1080,2.4
"진주시","합계",146660,49332,41570,27700,21604,5257,996,201,2.3
"통영시","합계",53758,17445,17550,9712,6751,1822,373,105,2.2
"사천시","합계",46540,15604,15112,8387,5622,1446,291,78,2.2
"김해시","합계",207272,56046,55514,46532,39424,8163,1313,280,2.5
"밀양시","합계",45948,16645,16080,7186,4494,1203,248,92,2.1
"거제시","합계",95837,27960,26089,19985,17208,3858,602,135,2.4
"양산시","합계",138629,39894,39178,29557,24030,4994,812,164,2.4
"창원시","합계",409688,119161,113998,90197,69220,14189,2387,536,2.4
"의창구","합계",104291,30619,28394,23234,17751,3562,602,129,2.4
"성산구","합계",81686,21745,20504,20087,16214,2667,386,83,2.5
"마산합포구","합계",71771,22631,22367,14219,9755,2239,444,116,2.3
"마산회원구","합계",76212,21943,21958,16702,12365,2683,456,105,2.4
"진해구","합계",75728,22223,20775,15955,13135,3038,499,103,2.4
"의령군","합계",12321,5124,4418,1588,816,282,66,27,1.9
"함안군","합계",26634,8846,8879,4597,3220,853,178,61,2.2
"창녕군","합계",26908,9792,9973,3920,2250,709,197,67,2.1
"고성군","합계",22039,7870,7935,3434,1935,655,163,47,2.1
"남해군","합계",19501,7368,7519,2697,1336,439,100,42,2
"하동군","합계",19435,7072,7241,2994,1413,508,161,46,2.1
"산청군","합계",15611,6032,5936,2120,1008,365,107,43,2
"함양군","합계",17361,6679,6202,2506,1323,483,123,45,2
"거창군","합계",25874,8787,8974,4287,2717,883,176,50,2.2
"합천군","합계",20139,8080,7532,2662,1287,407,117,54,2
"읍부","합계",60060,18382,19198,11053,7364,2849,879,335,2.4
"면부","합계",14992,5242,4978,2426,1459,584,218,85,2.2
"동부","합계",188016,58231,50132,36424,29924,10286,2283,736,2.4
"제주시","합계",191619,59038,52445,36918,29689,10361,2389,779,2.4
"서귀포시","합계",71449,22817,21863,12985,9058,3358,991,377,2.3
