"강서구","남자인구수 (명)",71245,4803,5523,3576,2373,2746,3885,5468,8452,7690,5532,4363,4325,4663,3397,2148,1314,636,258,66,14,13
"강서구","여자인구수 (명)",66712,4507,5262,3530,2235,2308,3396,5440,7948,6139,4306,3900,4359,4595,3192,1963,1450,1146,635,303,64,34
"연제구","총인구수 (명)",209157,6448,8299,7927,8540,12261,13870,12555,14639,15371,16536,17140,17001,18055,14454,10591,7606,4823,2108,687,156,90
"연제구","남자인구수 (명)",100700,3315,4196,4089,4346,6339,6887,6317,7347,7534,8050,8161,8014,8241,6678,4904,3389,2006,674,158,35,20
"연제구","여자인구수 (명)",108457,3133,4103,3838,4194,5922,6983,6238,7292,7837,8486,8979,8987,9814,7776,5687,4217,2817,1434,529,121,70
"수영구","총인구수 (명)",176894,4628,5700,5429,6423,10251,14098,11670,12207,12236,13251,13773,13945,15673,12872,10035,7010,4616,2141,738,137,61
"수영구","남자인구수 (명)",83573,2330,2979,2795,3321,4978,6861,5812,6079,6153,6381,6511,6210,6944,5784,4503,3132,1898,670,194,24,14
"수영구","여자인구수 (명)",93321,2298,2721,2634,3102,5273,7237,5858,6128,6083,6870,7262,7735,8729,7088,5532,3878,2718,1471,544,113,47
"사상구","총인구수 (명)",212586,5203,7152,6961,8127,13511,15421,12029,13195,13735,15628,19365,21825,21569,15149,10356,6776,4084,1765,540,125,70
"사상구","남자인구수 (명)",107405,2691,3601,3581,4301,7074,8445,6571,6957,7370,8052,9572,10930,10865,7393,4905,3030,1491,453,98,16,9
"사상구","여자인구수 (명)",105181,2512,3551,3380,3826,6437,6976,5458,6238,6365,7576,9793,10895,10704,7756,5451,3746,2593,1312,442,109,61
"기장군","총인구수 (명)",174545,7995,11158,9363,8112,8246,8820,9915,15045,16834,15381,12752,11254,11928,9470,7184,5151,3446,1704,578,166,43
"기장군","남자인구수 (명)",86439,4018,5724,4823,4268,4368,4685,4937,7482,8528,8003,6590,5541,5572,4387,3365,2253,1263,491,112,21,8
"기장군","여자인구수 (명)",88106,3977,5434,4540,3844,3878,4135,4978,7563,8306,7378,6162,5713,6356,5083,3819,2898,2183,1213,466,145,35
"중구","총인구수 (명)",76547,2384,2758,2316,2773,5094,6770,5169,5586,5025,5741,5734,5591,5678,4549,4061,3314,2311,1102,391,97,103
"중구","남자인구수 (명)",36799,1226,1429,1214,1417,2320,3340,2699,2868,2614,2856,2850,2747,2700,2019,1709,1397,882,374,96,21,21
"중구","여자인구수 (명)",39748,1158,1329,1102,1356,2774,3430,2470,2718,2411,2885,2884,2844,2978,2530,2352,1917,1429,728,295,76,82
"동구","총인구수 (명)",341920,11024,14169,12907,13659,19381,22303,20200,23621,24693,26717,27982,29016,28809,22609,17040,13171,8827,4186,1196,285,125
"동구","남자인구수 (명)",168443,5606,7261,6699,7231,10315,11992,10934,12179,12751,13736,13826,13850,13555,10329,7654,5509,3316,1336,276,51,37
"동구","여자인구수 (명)",173477,5418,6908,6208,6428,9066,10311,9266,11442,11942,12981,14156,15166,15254,12280,9386,7662,5511,2850,920,234,88
"서구","총인구수 (명)",170700,3048,4516,4657,6205,9892,11781,8407,9036,9994,12831,16004,18317,17425,13660,9742,7431,4788,2108,620,135,103
"서구","남자인구수 (명)",85572,1624,2288,2325,3331,5316,6613,4942,4964,5413,6846,8125,9144,8359,6202,4419,3115,1767,616,114,24,25
"서구","여자인구수 (명)",85128,1424,2228,2332,2874,4576,5168,3465,4072,4581,5985,7879,9173,9066,7458,5323,4316,3021,1492,506,111,78
"남구","총인구수 (명)",146632,2949,3872,4132,5287,9352,11105,8330,8848,9268,11135,12279,12688,13200,10794,8378,6757,4775,2457,766,173,87
"남구","남자인구수 (명)",70471,1530,1995,2143,2809,4517,5734,4517,4487,4729,5559,6138,6040,6109,4880,3657,2774,1796,816,183,40,18
"남구","여자인구수 (명)",76161,1419,1877,1989,2478,4835,5371,3813,4361,4539,5576,6141,6648,7091,5914,4721,3983,2979,1641,583,133,69
"북구","총인구수 (명)",440263,14470,19561,19942,23362,32197,29939,24951,29059,32556,40101,41020,37182,31869,22054,15967,12349,8274,3913,1171,232,94
"북구","남자인구수 (명)",219197,7358,10035,10298,12232,17147,16539,13406,14839,16163,19493,20395,18354,15815,10394,7139,5021,3088,1168,249,43,21
"북구","여자인구수 (명)",221066,7112,9526,9644,11130,15050,13400,11545,14220,16393,20608,20625,18828,16054,11660,8828,7328,5186,2745,922,189,73
"수성구","총인구수 (명)",424314,10360,19424,24344,27151,30007,25396,18636,24190,32159,40707,40534,34617,30225,21907,16214,12559,9068,4875,1515,326,100
"수성구","남자인구수 (명)",205293,5339,9981,12730,14507,16107,13589,9654,11165,14577,18624,19593,16790,14491,10108,7218,5296,3471,1596,357,74,26
"수성구","여자인구수 (명)",219021,5021,9443,11614,12644,13900,11807,8982,13025,17582,22083,20941,17827,15734,11799,8996,7263,5597,3279,1158,252,74
"달서구","총인구수 (명)",558631,16116,24157,25645,29595,40323,38950,30904,35675,40458,48983,52982,50682,43515,29818,20058,14247,9915,4791,1413,313,91
"달서구","남자인구수 (명)",275626,8335,12282,13269,15392,21266,20960,16778,17861,19794,23521,25514,24645,21305,14054,9304,5968,3569,1420,307,63,19
"달서구","여자인구수 (명)",283005,7781,11875,12376,14203,19057,17990,14126,17814,20664,25462,27468,26037,22210,15764,10754,8279,6346,3371,1106,250,72
